Airline,Booking_Date,Departure_Date,Days_to_Departure,Source,Destination,Duration,Class,Price
AirAsia,2024-08-27,2024-09-18,22.0,Balikpapan,Makassar,1.1,Economy,863.230568004936
Batik Air,2023-07-06,2023-09-21,77.0,Balikpapan,Jakarta,2.1,Economy,1527.669744538129
Batik Air,2024-09-17,2024-12-03,77.0,Medan,Jakarta,2.3,Economy,1454.51288404843
Citilink,2023-02-06,2023-03-17,39.0,Surabaya,Medan,3.6,Economy,1460.6924681680491
Garuda Indonesia,2024-06-19,2024-09-04,77.0,Denpasar,Makassar,1.1,Economy,1326.6983442873668
Sriwijaya Air,2024-04-20,2024-07-09,80.0,Medan,Jakarta,2.0,Economy,1554.383524151308
Citilink,2024-05-17,2024-05-31,14.0,Denpasar,Yogyakarta,1.2,Business,2502.8217725153604
AirAsia,2023-01-16,2023-01-19,3.0,Balikpapan,Makassar,1.0,Economy,3458.9790959816933
Citilink,2024-04-21,2024-05-12,21.0,Balikpapan,Makassar,0.8,Business,3577.229528671677
Sriwijaya Air,2023-08-09,2023-10-26,78.0,Denpasar,Jakarta,1.7,Business,1152.165946852383
Batik Air,2024-11-15,2024-11-27,12.0,Balikpapan,Surabaya,1.6,Business,2753.263041264658
Citilink,2024-04-04,2024-06-22,79.0,Surabaya,Yogyakarta,0.9,Economy,1316.3606929335847
Citilink,2023-08-01,2023-09-08,38.0,Denpasar,Makassar,1.4,Economy,2704.5139735494017
Sriwijaya Air,2024-04-30,2024-06-18,49.0,Yogyakarta,Jakarta,1.3,Economy,1258.7668564087653
Garuda Indonesia,2024-01-15,2024-01-23,8.0,Yogyakarta,Medan,4.0,Economy,1348.0541131840046
AirAsia,2023-08-02,2023-10-13,72.0,Surabaya,Balikpapan,1.7,Economy,1355.1464063706403
Garuda Indonesia,2023-02-20,2023-04-07,46.0,Makassar,Yogyakarta,1.9,Economy,670.9561057224107
Citilink,2023-09-27,2023-12-02,66.0,Denpasar,Balikpapan,1.4,Economy,1294.2131695527141
Lion Air,2024-08-21,2024-09-04,14.0,Medan,Surabaya,3.5,Economy,1051.8832521578552
AirAsia,2023-07-03,2023-09-23,82.0,Denpasar,Yogyakarta,1.2,Economy,1632.0310350235254
Citilink,2024-10-25,2024-12-13,49.0,Jakarta,Balikpapan,1.8,Business,2925.6648520068425
Citilink,2023-05-07,2023-07-10,64.0,Balikpapan,Yogyakarta,2.1,Economy,1388.2783269031686
Lion Air,2023-05-03,2023-06-18,46.0,Denpasar,Medan,4.0,Economy,1594.6912343163983
Sriwijaya Air,2024-01-03,2024-02-02,30.0,Balikpapan,Jakarta,2.2,Business,8278.215495710529
Garuda Indonesia,2023-11-27,2024-01-12,46.0,Balikpapan,Surabaya,1.5,Economy,1522.2005404319464
Citilink,2024-04-07,2024-06-17,71.0,Denpasar,Jakarta,1.7,Business,1682.7597928919977
AirAsia,2024-02-19,2024-04-04,45.0,Denpasar,Jakarta,1.9,Economy,980.0217121645532
AirAsia,2023-09-01,2023-09-17,16.0,Denpasar,Jakarta,1.7,Economy,1750.6661738743815
AirAsia,2023-01-26,2023-03-15,48.0,Balikpapan,Medan,3.3,Economy,1391.4841336534225
Citilink,2023-12-26,2024-01-24,29.0,Jakarta,Yogyakarta,1.1,Economy,1661.0444454240771
Garuda Indonesia,2023-07-19,2023-10-01,74.0,Jakarta,Denpasar,1.6,Business,2493.00119287565
AirAsia,2023-05-06,2023-06-30,55.0,Makassar,Surabaya,1.6,Economy,643.2422428063438
Garuda Indonesia,2024-11-26,2025-01-01,36.0,Jakarta,Yogyakarta,1.1,Economy,2088.379861011133
